position,lizard_id,trt,sex,current_enclosure,clutch,hatch_date,test_date,age,notes,day,test_type,pos_high_lat,pos_high_risk,choice,lat_high,lat_low,latency,time_high,time_low,compared_interest,ratio_interest,side_choice
C4,2810,A_23,m,E582_23,CL772_24,17/1/2024,18/5/2024,122,,2,2 VS 3,Right,Close,0,522,202,202,145,121,24,0.090225564,Left
C4,2941,A_23,m,E045_23,CL810_24,22/1/2024,18/5/2024,117,,2,2 VS 4,Left,Close,0,1019,744,744,248,165,83,0.200968523,Right
C4,3126,A_28,f,E817_23,CL858_24,15/1/2024,18/5/2024,124,,2,3 VS 4,Left,Close,0,1063,721,721,89,238,-149,-0.455657492,Right
E1,2869,B_23,f,E411_23,CL793_24,19/1/2024,18/5/2024,120,,2,3 VS 4,Right,Close,1,4683,5332,4683,34,87,-53,-0.438016529,Right
E1,3019,A_28,f,E074_23,CL828_24,8/1/2024,18/5/2024,131,,2,2 VS 3,Left,Close,0,4487,329,329,27,32,-5,-0.084745763,Right
E1,3168,A_28,f,E534_23,CL867_24,15/1/2024,18/5/2024,124,"Likely multiple clutches, but delineation unclear.",2,2 VS 4,Left,Far,0,4005,1432,1432,37,48,-11,-0.129411765,Right
E2,2897,B_23,f,E473_23,CL800_24,22/1/2024,18/5/2024,117,,2,2 VS 3,Right,Close,1,54,707,54,177,106,71,0.250883392,Right
E2,3022,A_23,f,E478_23,CL829_24,22/1/2024,18/5/2024,117,,2,1 VS 3,Right,Far,1,3979,4289,3979,60,26,34,0.395348837,Right
E2,3119,B_28,m,E713_23,CL855_24,15/1/2024,18/5/2024,124,,2,1 VS 3,Left,Far,1,247,3794,247,55,12,43,0.641791045,Left
E2,3121,A_28,f,E377_23,CL856_24,15/1/2024,18/5/2024,124,,2,1 VS 3,Left,Close,1,869,985,869,NA,NA,NA,NA,Left
E3,2812,B_23,m,E278_23,CL772_24,17/1/2024,18/5/2024,122,,2,2 VS 4,Right,Far,1,713,807,713,101,49,52,0.346666667,Right
E3,2844,A_23,m,E1728_23,CL784_24,15/1/2024,18/5/2024,124,,2,1 VS 4,Left,Far,0,289,222,222,32,45,-13,-0.168831169,Right
E3,3002,B_28,f,E787_23,CL824_24,8/1/2024,18/5/2024,131,,2,1 VS 4,Right,Far,1,6411,6530,6411,NA,NA,NA,NA,Right
E3,3075,A_28,m,E827_23,CL845_24,15/1/2024,18/5/2024,124,,2,1 VS 4,Right,Close,1,69,208,69,118,136,-18,-0.070866142,Right
E4,2934,B_23,f,E159_23,CL809_24,24/1/2024,18/5/2024,115,Might be three clutches.,2,1 VS 3,Right,Far,0,423,324,324,54,106,-52,-0.325,Left
E4,2943,A_23,m,E323_23,CL811_24,26/1/2024,18/5/2024,113,,2,3 VS 4,Left,Close,1,539,43,43,35,27,8,0.129032258,Left
E4,3077,B_28,m,E689_23,CL845_24,15/1/2024,18/5/2024,124,,2,3 VS 4,Right,Close,1,144,NA,144,NA,NA,NA,NA,Right
F1,2813,A_23,m,E778_23,CL773_24,15/1/2024,18/5/2024,124,,2,2 VS 3,Left,Close,1,958,1827,958,28,33,-5,-0.081967213,Left
F1,2859,B_23,f,E1027_23,CL789_24,19/1/2024,18/5/2024,120,,2,1 VS 4,Right,Close,0,1268,1224,1224,123,6,117,0.906976744,Left
F1,3117,A_28,f,E669_23,CL855_24,15/1/2024,18/5/2024,124,,2,3 VS 4,Right,Close,1,296,500,296,NA,NA,NA,NA,Right
F2,2933,A_23,f,E736_23,CL809_24,26/1/2024,18/5/2024,113,Might be three clutches.,2,2 VS 4,Left,Close,0,626,243,243,107,261,-154,-0.418478261,Right
F2,2947,B_23,m,E359_23,CL812_24,22/1/2024,18/5/2024,117,,2,3 VS 4,Left,Far,0,234,148,148,60,59,1,0.008403361,Right
F2,3059,B_28,f,E176_23,CL840_24,10/1/2024,18/5/2024,129,,2,2 VS 3,Right,Far,0,1598,1353,1353,70,110,-40,-0.222222222,Left
F3,2977,B_23,f,E612_23,CL819_24,24/1/2024,18/5/2024,115,Might be two clutches.,2,2 VS 3,Right,Close,0,305,86,86,106,189,-83,-0.281355932,Left
F3,2988,B_28,f,E064_23,CL821_24,10/1/2024,18/5/2024,129,,2,2 VS 4,Left,Far,1,407,524,407,NA,NA,NA,NA,Left
F3,3172,A_28,f,E774_23,CL868_24,15/1/2024,18/5/2024,124,"Likely multiple clutches, but delineation unclear.",2,2 VS 3,Left,Close,1,312,410,312,112,58,54,0.317647059,Left
F4,2935,A_23,m,E539_23,CL809_24,26/1/2024,18/5/2024,113,Might be three clutches.,2,1 VS 3,Left,Close,0,335,97,97,66,61,5,0.039370079,Right
F4,2998,B_28,m,E167_23,CL823_24,8/1/2024,18/5/2024,131,,2,1 VS 3,Left,Far,0,2462,2384,2384,139,28,111,0.664670659,Right
F4,3134,A_28,f,E777_23,CL860_24,12/1/2024,18/5/2024,127,,2,2 VS 4,Left,Close,1,1461,1531,1461,19,64,-45,-0.542168675,Left
G1,2799,A_23,f,E631_23,CL769_24,15/1/2024,18/5/2024,124,,2,1 VS 4,Left,Close,1,826,1334,826,273,18,255,0.87628866,Left
G1,2866,B_23,f,E644_23,CL792_24,17/1/2024,18/5/2024,122,,2,2 VS 4,Left,Far,0,1571,1206,1206,7,19,-12,-0.461538462,Right
G1,3128,B_28,f,E848_23,CL858_24,15/1/2024,18/5/2024,124,,2,1 VS 4,Right,Far,0,NA,1258,1258,NA,NA,NA,NA,Left
G1,3209,A_28,m,E408_23,CL875_24,15/1/2024,18/5/2024,124,,2,1 VS 3,Left,Close,1,203,754,203,290,300,-10,-0.016949153,Left
G2,2826,A_23,m,E502_23,CL779_24,15/1/2024,18/5/2024,124,,2,3 VS 4,Right,Far,1,1153,313,313,38,24,14,0.225806452,Right
G2,2894,B_23,f,E181_23,CL798_24,24/1/2024,18/5/2024,115,,2,1 VS 3,Right,Close,0,468,189,189,132,245,-113,-0.299734748,Left
G2,3000,A_28,m,E193_23,CL823_24,8/1/2024,18/5/2024,131,,2,1 VS 4,Right,Far,1,168,195,168,55,59,-4,-0.035087719,Right
G3,2846,A_23,f,E766_23,CL785_24,15/1/2024,18/5/2024,124,,2,2 VS 3,Right,Close,1,314,1229,314,195,106,89,0.295681063,Right
G3,3146,A_28,f,E069_23,CL862_24,12/1/2024,18/5/2024,127,,2,3 VS 4,Right,Close,1,204,2345,204,120,15,105,0.777777778,Right
G3,3167,B_28,f,E639_23,CL867_24,15/1/2024,18/5/2024,124,"Likely multiple clutches, but delineation unclear.",2,3 VS 4,Left,Close,1,500,927,500,50,86,-36,-0.264705882,Left
G4,2817,A_23,m,E627_23,CL774_24,15/1/2024,18/5/2024,124,,2,2 VS 4,Left,Far,1,269,475,269,54,17,37,0.521126761,Left
G4,2932,B_23,m,E190_23,CL809_24,26/1/2024,18/5/2024,113,Might be three clutches.,2,1 VS 4,Left,Close,1,76,227,76,127,78,49,0.23902439,Left
G4,3130,B_28,f,E416_23,CL859_24,15/1/2024,18/5/2024,124,,2,2 VS 3,Left,Far,0,722,553,553,66,65,1,0.007633588,Right
G4,3133,A_28,f,E558_23,CL859_24,12/1/2024,18/5/2024,127,,2,2 VS 3,Right,Far,0,178,145,145,29,106,-77,-0.57037037,Left
A1,2882,A_23,m,E552_23,CL796_24,19/1/2024,18/5/2024,120,,3,2 VS 4,Right,Far,0,590,413,413,33,15,18,0.375,Left
A1,2940,B_28,m,E236_23,CL810_24,3/1/2024,18/5/2024,136,,3,2 VS 3,Right,Close,1,1686,2168,1686,78,53,25,0.190839695,Right
A1,2999,B_23,f,E659_23,CL823_24,28/1/2024,18/5/2024,111,,3,1 VS 4,Right,Close,0,3321,2587,2587,147,99,48,0.195121951,Left
